player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
Aaron Rodgers,GNB,366,531,4115,37,4,30,188,75,112.50624999999998,33,101,3,18,1,1,-4,0,-4,0,17,0,0
Andy Dalton,CHI,149,236,1515,8,9,18,143,60,84.85000000000001,16,76,0,14,0,0,0,0,0,1,4,0,0
Baker Mayfield,CLE,253,418,3010,17,13,43,269,71,85.12142857142858,37,134,1,14,0,0,11,0,0,3,18,0,0
Ben Roethlisberger,PIT,390,605,3740,22,10,38,239,59,88.9375,20,5,1,8,0,0,0,0,0,5,3,0,0
Blaine Gabbert,TAM,7,11,67,0,0,1,10,23,61.0,9,-7,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,CIN,17,34,149,2,0,4,33,26,69.4,7,-1,0,3,0,0,0,0,0,0,2,0,0
Brett Rypien,DEN,0,2,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Hoyer,NWE,9,11,227,1,0,0,0,48,78.34,11,-8,0,2,0,0,0,0,0,0,1,0,0
C.J. Beathard,JAX,2,2,33,0,0,0,0,28,59.35,1,2,0,2,0,0,0,0,0,0,0,0,0
Cam Newton,CAR,69,126,684,4,5,10,83,64,57.800000000000004,47,230,5,33,0,0,0,0,0,1,83,0,0
Carson Wentz,IND,322,516,3563,27,7,32,227,76,95.15882352941176,57,215,1,18,0,0,0,0,0,5,57,0,0
Case Keenum,CLE,47,72,462,3,1,5,29,34,64.12,12,22,0,10,0,0,0,0,0,1,7,0,0
Chad Henne,KAN,11,16,82,0,0,0,0,17,20.175,8,0,0,4,0,0,0,0,0,0,0,0,0
Chase Daniel,LAC,0,0,0,0,0,0,0,0,0.0,2,-2,0,-1,0,0,0,0,0,0,0,0,0
Chris Streveler, ARI,6,9,36,0,0,2,17,17,37.15,3,6,0,4,0,0,0,0,0,0,5,0,0
Colt McCoy,ARI,74,99,740,3,1,6,40,50,52.1857142857143,22,37,0,11,0,0,0,0,0,1,7,0,0
Cooper Rush,DAL,30,47,422,3,1,3,19,73,110.025,9,-8,0,2,0,0,0,0,0,1,0,0,0
Dak Prescott,DAL,410,596,4449,37,10,29,138,51,104.98124999999999,48,146,1,21,0,0,0,0,0,6,25,0,0
Daniel Jones,NYG,232,361,2428,10,7,22,160,54,86.4,62,298,2,46,1,1,16,0,16,3,42,3,0
David Blough,DET,0,0,0,0,0,1,6,0,0.0,1,6,0,6,0,0,0,0,0,0,4,0,0
Davis Mills,HOU,263,394,2664,16,10,31,206,67,87.63846153846156,18,44,0,11,0,0,0,0,0,1,7,0,0
Davis Webb,BUF,0,0,0,0,0,0,0,0,0.0,2,-3,0,-1,0,0,0,0,0,0,0,0,0
Derek Carr,LVR,428,626,4804,23,14,40,241,61,94.30588235294117,40,108,0,22,0,0,0,0,0,5,8,0,0
Drew Lock,DEN,67,111,787,2,2,9,52,44,76.0,10,53,2,23,1,1,1,0,1,1,8,6,0
Feleipe Franks,ATL,0,1,0,0,1,0,0,0,0.0,3,6,0,4,0,0,0,0,0,0,4,0,0
Gardner Minshew II,PHI,41,60,439,4,1,5,31,36,101.46666666666665,9,21,0,9,0,0,0,0,0,0,2,0,0
